timestamp_America_Phoenix,gpu_temp_c,sm_clock,memory_clock,power,utilization,sw_thermal_slowdown,hw_thermal_slowdown,sw_power_cap
2026/09/07 23:58:24.699,75,2405 MHz,[N/A],73.54 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:58:29.700,73,2418 MHz,[N/A],55.43 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:58:34.702,73,2418 MHz,[N/A],55.68 W,95 %,Not Active,Not Active,Not Active
2026/09/07 23:58:39.702,74,2418 MHz,[N/A],55.81 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:58:49.704,78,2385 MHz,[N/A],73.90 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:58:54.704,80,2379 MHz,[N/A],75.16 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:58:59.705,75,2385 MHz,[N/A],76.86 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:59:04.707,79,2379 MHz,[N/A],75.92 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:59:09.707,79,2411 MHz,[N/A],73.42 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:59:14.708,77,2379 MHz,[N/A],74.47 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:59:19.709,81,2379 MHz,[N/A],76.64 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:59:24.710,77,2379 MHz,[N/A],76.40 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:59:29.711,76,2418 MHz,[N/A],56.45 W,95 %,Not Active,Not Active,Not Active
2026/09/07 23:59:34.712,76,2418 MHz,[N/A],56.44 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:59:39.713,74,2418 MHz,[N/A],56.16 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:59:49.714,73,2392 MHz,[N/A],39.71 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:59:54.716,77,2379 MHz,[N/A],71.79 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:59:59.717,74,2392 MHz,[N/A],70.88 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:00:04.718,75,2372 MHz,[N/A],73.71 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:00:09.719,79,2385 MHz,[N/A],76.60 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:00:14.720,80,2385 MHz,[N/A],75.86 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:00:19.721,80,2385 MHz,[N/A],76.24 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:00:24.722,75,2405 MHz,[N/A],72.30 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:00:29.723,77,2392 MHz,[N/A],73.73 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:00:34.724,74,2418 MHz,[N/A],53.66 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:00:39.725,75,2418 MHz,[N/A],59.33 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:00:44.726,75,2418 MHz,[N/A],60.29 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:00:49.727,74,2418 MHz,[N/A],51.56 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:00:54.728,73,2418 MHz,[N/A],55.57 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:00:59.729,74,2392 MHz,[N/A],62.33 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:01:04.730,75,2379 MHz,[N/A],73.85 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:01:09.731,76,2392 MHz,[N/A],75.82 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:01:14.732,70,2437 MHz,[N/A],43.59 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:01:19.733,71,2437 MHz,[N/A],48.29 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:01:24.734,68,2418 MHz,[N/A],31.62 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:01:29.735,75,2392 MHz,[N/A],65.68 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:01:34.736,68,2405 MHz,[N/A],58.02 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:01:39.737,73,2392 MHz,[N/A],66.07 W,96 %,Not Active,Not Active,Not Active
