timestamp_America_Phoenix,gpu_temp_c,sm_clock,memory_clock,power,utilization,sw_thermal_slowdown,hw_thermal_slowdown,sw_power_cap
2026/09/07 23:04:21.733,75,2470 MHz,[N/A],71.21 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:04:26.733,77,2463 MHz,[N/A],72.06 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:04:31.734,77,2470 MHz,[N/A],72.54 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:04:36.735,73,2489 MHz,[N/A],43.96 W,95 %,Not Active,Not Active,Not Active
2026/09/07 23:04:41.736,73,2496 MHz,[N/A],48.36 W,95 %,Not Active,Not Active,Not Active
2026/09/07 23:04:51.738,77,2470 MHz,[N/A],71.77 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:04:56.740,75,2476 MHz,[N/A],65.22 W,95 %,Not Active,Not Active,Not Active
2026/09/07 23:05:01.741,76,2476 MHz,[N/A],69.67 W,95 %,Not Active,Not Active,Not Active
2026/09/07 23:05:06.742,78,2470 MHz,[N/A],69.14 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:05:11.743,79,2470 MHz,[N/A],67.90 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:05:16.744,75,2496 MHz,[N/A],48.42 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:05:21.745,74,2496 MHz,[N/A],50.28 W,95 %,Not Active,Not Active,Not Active
2026/09/07 23:05:26.746,77,2489 MHz,[N/A],52.07 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:05:31.747,77,2476 MHz,[N/A],72.68 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:05:36.748,78,2476 MHz,[N/A],67.04 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:05:41.749,79,2476 MHz,[N/A],66.22 W,94 %,Not Active,Not Active,Not Active
2026/09/07 23:05:46.750,81,2470 MHz,[N/A],71.66 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:05:51.751,79,2457 MHz,[N/A],72.28 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:05:56.752,77,2496 MHz,[N/A],54.21 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:06:01.753,76,2496 MHz,[N/A],55.47 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:06:06.754,75,2496 MHz,[N/A],55.44 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:06:11.755,75,2496 MHz,[N/A],55.29 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:06:21.759,75,2483 MHz,[N/A],72.29 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:06:26.760,75,2476 MHz,[N/A],70.90 W,94 %,Not Active,Not Active,Not Active
2026/09/07 23:06:31.761,76,2470 MHz,[N/A],72.36 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:06:36.762,76,2476 MHz,[N/A],70.46 W,95 %,Not Active,Not Active,Not Active
2026/09/07 23:06:41.762,78,2470 MHz,[N/A],72.96 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:06:46.763,79,2496 MHz,[N/A],69.88 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:06:51.765,79,2470 MHz,[N/A],72.13 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:06:56.766,80,2463 MHz,[N/A],71.32 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:07:01.767,80,2470 MHz,[N/A],69.35 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:07:06.768,79,2470 MHz,[N/A],71.18 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:07:11.769,79,2463 MHz,[N/A],72.15 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:07:16.770,77,2496 MHz,[N/A],55.89 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:07:21.772,75,2496 MHz,[N/A],50.22 W,95 %,Not Active,Not Active,Not Active
2026/09/07 23:07:36.775,75,2476 MHz,[N/A],71.69 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:07:41.776,76,2476 MHz,[N/A],71.19 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:07:46.776,76,2476 MHz,[N/A],71.03 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:07:51.777,78,2476 MHz,[N/A],70.09 W,94 %,Not Active,Not Active,Not Active
2026/09/07 23:07:56.779,76,2470 MHz,[N/A],71.26 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:08:01.779,77,2476 MHz,[N/A],71.84 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:08:06.780,75,2483 MHz,[N/A],67.98 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:08:11.781,80,2476 MHz,[N/A],71.43 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:08:16.783,78,2476 MHz,[N/A],69.61 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:08:21.784,79,2476 MHz,[N/A],71.42 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:08:26.786,79,2476 MHz,[N/A],70.70 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:08:31.787,76,2489 MHz,[N/A],55.38 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:08:36.787,76,2496 MHz,[N/A],55.95 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:08:41.788,75,2496 MHz,[N/A],58.51 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:08:46.789,75,2496 MHz,[N/A],56.06 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:08:51.791,72,2489 MHz,[N/A],52.87 W,95 %,Not Active,Not Active,Not Active
2026/09/07 23:08:56.791,73,2496 MHz,[N/A],49.09 W,96 %,Not Active,Not Active,Not Active
