timestamp_America_Phoenix,gpu_temp_c,sm_clock,memory_clock,power,utilization,sw_thermal_slowdown,hw_thermal_slowdown,sw_power_cap
2026/09/08 00:43:31.775,75,2483 MHz,[N/A],62.41 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:43:36.776,75,2489 MHz,[N/A],60.62 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:43:41.777,78,2489 MHz,[N/A],62.06 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:43:46.778,76,2483 MHz,[N/A],62.24 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:43:51.779,74,2496 MHz,[N/A],47.07 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:43:56.780,74,2496 MHz,[N/A],47.12 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:44:01.781,74,2496 MHz,[N/A],46.81 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:44:06.782,73,2496 MHz,[N/A],43.97 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:44:16.784,74,2489 MHz,[N/A],60.78 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:44:21.786,75,2489 MHz,[N/A],62.08 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:44:26.787,75,2489 MHz,[N/A],61.57 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:44:31.788,78,2489 MHz,[N/A],61.74 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:44:36.790,76,2489 MHz,[N/A],61.43 W,94 %,Not Active,Not Active,Not Active
2026/09/08 00:44:41.791,76,2489 MHz,[N/A],60.61 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:44:46.793,76,2489 MHz,[N/A],61.01 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:44:51.794,76,2496 MHz,[N/A],55.99 W,94 %,Not Active,Not Active,Not Active
2026/09/08 00:44:56.796,75,2496 MHz,[N/A],49.72 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:45:01.798,75,2496 MHz,[N/A],49.84 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:45:06.799,75,2496 MHz,[N/A],49.88 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:45:16.802,76,2489 MHz,[N/A],62.62 W,96 %,Not Active,Not Active,Not Active
