timestamp_America_Phoenix,gpu_temp_c,sm_clock,memory_clock,power,utilization,sw_thermal_slowdown,hw_thermal_slowdown,sw_power_cap
2026/09/07 19:52:30.581,75,2463 MHz,[N/A],71.30 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:52:35.583,80,2450 MHz,[N/A],71.23 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:52:40.583,78,2450 MHz,[N/A],75.32 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:52:45.584,76,2496 MHz,[N/A],50.61 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:52:50.586,74,2496 MHz,[N/A],49.57 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:53:00.588,78,2470 MHz,[N/A],75.11 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:53:05.589,76,2457 MHz,[N/A],73.10 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:53:10.590,73,2463 MHz,[N/A],72.66 W,95 %,Not Active,Not Active,Not Active
2026/09/07 19:53:15.591,76,2457 MHz,[N/A],71.30 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:53:20.592,73,2496 MHz,[N/A],55.06 W,95 %,Not Active,Not Active,Not Active
2026/09/07 19:53:25.593,75,2496 MHz,[N/A],55.49 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:53:30.594,74,2496 MHz,[N/A],55.49 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:53:40.595,77,2463 MHz,[N/A],72.96 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:53:45.597,79,2457 MHz,[N/A],74.74 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:53:50.598,77,2463 MHz,[N/A],75.56 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:53:55.599,77,2457 MHz,[N/A],75.57 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:54:00.600,76,2457 MHz,[N/A],74.70 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:54:05.600,75,2463 MHz,[N/A],74.02 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:54:10.602,76,2457 MHz,[N/A],73.04 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:54:15.603,79,2483 MHz,[N/A],70.43 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:54:20.604,80,2470 MHz,[N/A],73.63 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:54:25.605,75,2496 MHz,[N/A],55.02 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:54:30.606,75,2496 MHz,[N/A],55.01 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:54:40.608,76,2476 MHz,[N/A],55.04 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:54:45.608,77,2463 MHz,[N/A],72.04 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:54:50.610,78,2470 MHz,[N/A],73.32 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:54:55.610,79,2463 MHz,[N/A],74.74 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:55:00.612,79,2457 MHz,[N/A],74.78 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:55:05.612,81,2457 MHz,[N/A],73.55 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:55:10.613,76,2457 MHz,[N/A],74.53 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:55:15.614,81,2463 MHz,[N/A],73.61 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:55:20.615,79,2457 MHz,[N/A],73.68 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:55:25.615,76,2496 MHz,[N/A],57.90 W,95 %,Not Active,Not Active,Not Active
2026/09/07 19:55:30.616,76,2496 MHz,[N/A],58.64 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:55:35.616,76,2496 MHz,[N/A],59.07 W,95 %,Not Active,Not Active,Not Active
2026/09/07 19:55:40.618,76,2496 MHz,[N/A],59.08 W,95 %,Not Active,Not Active,Not Active
2026/09/07 19:55:45.619,74,2496 MHz,[N/A],57.91 W,95 %,Not Active,Not Active,Not Active
