timestamp_America_Phoenix,gpu_temp_c,sm_clock,memory_clock,power,utilization,sw_thermal_slowdown,hw_thermal_slowdown,sw_power_cap
2026/09/07 19:52:34.392,74,2392 MHz,[N/A],75.21 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:52:39.393,76,2372 MHz,[N/A],73.58 W,89 %,Not Active,Not Active,Not Active
2026/09/07 19:52:44.395,72,2418 MHz,[N/A],50.40 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:52:49.396,73,2418 MHz,[N/A],50.02 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:52:59.397,79,2398 MHz,[N/A],78.00 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:53:04.398,76,2379 MHz,[N/A],76.55 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:53:09.399,77,2392 MHz,[N/A],77.56 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:53:14.400,80,2372 MHz,[N/A],76.58 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:53:19.402,77,2418 MHz,[N/A],56.39 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:53:24.402,76,2418 MHz,[N/A],57.18 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:53:29.403,77,2418 MHz,[N/A],57.46 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:53:39.405,75,2379 MHz,[N/A],66.88 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:53:44.406,77,2372 MHz,[N/A],75.84 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:53:49.407,82,2372 MHz,[N/A],76.19 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:53:54.408,80,2372 MHz,[N/A],76.82 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:53:59.408,84,2379 MHz,[N/A],78.88 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:54:04.409,86,2372 MHz,[N/A],77.73 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:54:09.410,84,2379 MHz,[N/A],76.82 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:54:14.411,85,2372 MHz,[N/A],76.15 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:54:19.412,81,2366 MHz,[N/A],76.79 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:54:24.413,78,2418 MHz,[N/A],57.30 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:54:29.414,78,2418 MHz,[N/A],57.40 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:54:44.416,77,2405 MHz,[N/A],73.15 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:54:49.417,81,2379 MHz,[N/A],72.86 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:54:54.417,82,2379 MHz,[N/A],72.38 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:54:59.418,82,2372 MHz,[N/A],75.12 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:55:04.419,78,2379 MHz,[N/A],76.83 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:55:09.419,81,2385 MHz,[N/A],76.31 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:55:14.420,79,2379 MHz,[N/A],74.51 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:55:19.421,83,2379 MHz,[N/A],77.25 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:55:24.422,76,2418 MHz,[N/A],58.81 W,95 %,Not Active,Not Active,Not Active
2026/09/07 19:55:29.423,77,2418 MHz,[N/A],60.28 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:55:34.423,77,2418 MHz,[N/A],59.79 W,95 %,Not Active,Not Active,Not Active
2026/09/07 19:55:39.424,77,2418 MHz,[N/A],60.52 W,96 %,Not Active,Not Active,Not Active
2026/09/07 19:55:44.424,76,2418 MHz,[N/A],57.54 W,96 %,Not Active,Not Active,Not Active
