timestamp_America_Phoenix,gpu_temp_c,sm_clock,memory_clock,power,utilization,sw_thermal_slowdown,hw_thermal_slowdown,sw_power_cap
2026/09/07 21:54:20.926,71,2502 MHz,[N/A],57.76 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:54:25.927,71,2489 MHz,[N/A],60.19 W,95 %,Not Active,Not Active,Not Active
2026/09/07 21:54:30.928,70,2522 MHz,[N/A],42.74 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:54:35.928,70,2522 MHz,[N/A],42.86 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:54:40.930,69,2522 MHz,[N/A],42.93 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:54:45.931,69,2489 MHz,[N/A],28.94 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:54:50.933,72,2489 MHz,[N/A],59.13 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:54:55.934,74,2489 MHz,[N/A],60.58 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:55:00.934,72,2489 MHz,[N/A],60.92 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:55:05.935,70,2522 MHz,[N/A],42.73 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:55:10.935,70,2522 MHz,[N/A],43.65 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:55:20.937,70,2502 MHz,[N/A],58.31 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:55:25.939,72,2489 MHz,[N/A],56.96 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:55:30.939,72,2489 MHz,[N/A],58.32 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:55:35.940,73,2489 MHz,[N/A],59.42 W,95 %,Not Active,Not Active,Not Active
2026/09/07 21:55:40.941,72,2502 MHz,[N/A],45.85 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:55:45.942,71,2522 MHz,[N/A],46.06 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:55:50.943,72,2522 MHz,[N/A],46.27 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:55:55.944,71,2522 MHz,[N/A],43.42 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:56:05.946,71,2502 MHz,[N/A],58.57 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:56:10.947,73,2489 MHz,[N/A],59.08 W,95 %,Not Active,Not Active,Not Active
2026/09/07 21:56:15.948,73,2489 MHz,[N/A],60.15 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:56:20.949,74,2489 MHz,[N/A],60.83 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:56:25.950,76,2489 MHz,[N/A],59.39 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:56:30.951,74,2489 MHz,[N/A],59.61 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:56:35.952,75,2489 MHz,[N/A],59.78 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:56:40.954,75,2489 MHz,[N/A],60.36 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:56:45.954,73,2496 MHz,[N/A],46.30 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:56:50.955,72,2496 MHz,[N/A],46.46 W,95 %,Not Active,Not Active,Not Active
2026/09/07 21:57:05.957,72,2489 MHz,[N/A],59.56 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:57:10.959,74,2489 MHz,[N/A],60.02 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:57:15.959,73,2489 MHz,[N/A],58.67 W,94 %,Not Active,Not Active,Not Active
2026/09/07 21:57:20.961,76,2489 MHz,[N/A],56.02 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:57:25.962,74,2489 MHz,[N/A],58.24 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:57:30.962,75,2489 MHz,[N/A],59.55 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:57:35.963,75,2489 MHz,[N/A],54.62 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:57:40.965,75,2489 MHz,[N/A],59.14 W,94 %,Not Active,Not Active,Not Active
2026/09/07 21:57:45.966,75,2489 MHz,[N/A],59.77 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:57:50.967,74,2496 MHz,[N/A],49.41 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:57:55.968,74,2496 MHz,[N/A],49.15 W,95 %,Not Active,Not Active,Not Active
2026/09/07 21:58:00.969,73,2496 MHz,[N/A],43.37 W,95 %,Not Active,Not Active,Not Active
2026/09/07 22:14:41.184,71,2509 MHz,[N/A],59.24 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:14:46.185,70,2509 MHz,[N/A],58.14 W,95 %,Not Active,Not Active,Not Active
2026/09/07 22:14:51.186,67,2522 MHz,[N/A],41.61 W,95 %,Not Active,Not Active,Not Active
2026/09/07 22:14:56.187,67,2522 MHz,[N/A],41.94 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:15:01.188,67,2522 MHz,[N/A],41.23 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:15:06.188,62,2405 MHz,[N/A],13.38 W,0 %,Not Active,Not Active,Not Active
2026/09/07 22:15:11.189,70,2509 MHz,[N/A],57.78 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:15:16.190,70,2509 MHz,[N/A],60.03 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:15:21.191,71,2496 MHz,[N/A],60.50 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:15:26.192,69,2522 MHz,[N/A],42.37 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:15:31.194,69,2522 MHz,[N/A],42.51 W,95 %,Not Active,Not Active,Not Active
2026/09/07 22:15:36.195,68,2522 MHz,[N/A],42.53 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:15:41.195,69,2509 MHz,[N/A],55.87 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:15:46.197,71,2509 MHz,[N/A],59.22 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:15:51.198,72,2502 MHz,[N/A],56.69 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:15:56.199,72,2489 MHz,[N/A],58.61 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:16:01.199,71,2522 MHz,[N/A],48.31 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:16:06.200,70,2522 MHz,[N/A],45.76 W,96 %,Not Active,Not Active,Not Active
