timestamp_America_Phoenix,gpu_temp_c,sm_clock,memory_clock,power,utilization,sw_thermal_slowdown,hw_thermal_slowdown,sw_power_cap
2026/09/07 21:54:23.477,72,2411 MHz,[N/A],61.10 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:54:28.478,71,2418 MHz,[N/A],59.59 W,95 %,Not Active,Not Active,Not Active
2026/09/07 21:54:33.478,70,2437 MHz,[N/A],43.64 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:54:38.479,70,2437 MHz,[N/A],42.44 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:54:48.480,71,2418 MHz,[N/A],60.43 W,95 %,Not Active,Not Active,Not Active
2026/09/07 21:54:53.481,72,2411 MHz,[N/A],61.73 W,95 %,Not Active,Not Active,Not Active
2026/09/07 21:54:58.482,73,2405 MHz,[N/A],62.53 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:55:03.483,74,2405 MHz,[N/A],62.51 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:55:08.483,71,2437 MHz,[N/A],44.04 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:55:13.484,71,2437 MHz,[N/A],44.61 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:55:18.485,64,2405 MHz,[N/A],15.87 W,0 %,Not Active,Not Active,Not Active
2026/09/07 21:55:23.485,72,2411 MHz,[N/A],61.07 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:55:28.487,75,2411 MHz,[N/A],61.25 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:55:33.487,73,2411 MHz,[N/A],60.12 W,95 %,Not Active,Not Active,Not Active
2026/09/07 21:55:38.488,75,2405 MHz,[N/A],60.72 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:55:43.489,72,2418 MHz,[N/A],47.10 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:55:48.490,72,2418 MHz,[N/A],46.96 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:55:53.490,72,2418 MHz,[N/A],46.98 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:56:03.492,71,2424 MHz,[N/A],43.69 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:56:08.493,73,2411 MHz,[N/A],59.79 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:56:13.493,75,2411 MHz,[N/A],57.98 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:56:18.494,75,2405 MHz,[N/A],62.19 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:56:23.495,74,2411 MHz,[N/A],59.65 W,93 %,Not Active,Not Active,Not Active
2026/09/07 21:56:28.495,75,2411 MHz,[N/A],59.94 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:56:33.496,76,2405 MHz,[N/A],61.47 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:56:38.497,75,2405 MHz,[N/A],61.07 W,95 %,Not Active,Not Active,Not Active
2026/09/07 21:56:43.498,72,2418 MHz,[N/A],54.40 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:56:48.498,71,2437 MHz,[N/A],46.73 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:56:53.499,69,2437 MHz,[N/A],44.19 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:57:03.500,68,2431 MHz,[N/A],56.77 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:57:08.501,70,2424 MHz,[N/A],59.41 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:57:13.502,71,2424 MHz,[N/A],59.25 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:57:18.503,72,2418 MHz,[N/A],58.79 W,94 %,Not Active,Not Active,Not Active
2026/09/07 21:57:23.504,74,2405 MHz,[N/A],59.68 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:57:28.504,74,2411 MHz,[N/A],58.84 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:57:33.506,74,2405 MHz,[N/A],60.08 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:57:38.507,74,2411 MHz,[N/A],59.89 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:57:43.508,74,2411 MHz,[N/A],60.43 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:57:48.509,73,2418 MHz,[N/A],49.75 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:57:53.510,73,2418 MHz,[N/A],48.69 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:57:58.511,73,2418 MHz,[N/A],49.28 W,96 %,Not Active,Not Active,Not Active
2026/09/07 21:58:03.511,72,2418 MHz,[N/A],44.07 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:14:38.671,68,2431 MHz,[N/A],41.32 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:14:43.672,70,2418 MHz,[N/A],59.58 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:14:48.673,69,2437 MHz,[N/A],42.34 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:14:53.674,68,2437 MHz,[N/A],43.15 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:14:58.674,68,2437 MHz,[N/A],42.73 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:15:08.676,69,2424 MHz,[N/A],58.61 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:15:13.676,72,2411 MHz,[N/A],60.57 W,95 %,Not Active,Not Active,Not Active
2026/09/07 22:15:18.677,73,2405 MHz,[N/A],62.06 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:15:23.678,73,2405 MHz,[N/A],62.35 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:15:28.679,70,2437 MHz,[N/A],43.69 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:15:33.680,69,2437 MHz,[N/A],43.77 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:15:43.683,72,2411 MHz,[N/A],60.77 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:15:48.683,73,2405 MHz,[N/A],61.21 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:15:53.684,73,2405 MHz,[N/A],60.20 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:15:58.685,73,2411 MHz,[N/A],60.28 W,95 %,Not Active,Not Active,Not Active
2026/09/07 22:16:03.686,71,2437 MHz,[N/A],47.26 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:16:08.687,71,2437 MHz,[N/A],44.13 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:16:13.688,71,2437 MHz,[N/A],47.28 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:16:18.688,71,2437 MHz,[N/A],44.51 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:16:28.690,73,2411 MHz,[N/A],60.79 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:16:33.690,73,2411 MHz,[N/A],61.21 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:16:38.691,74,2405 MHz,[N/A],62.02 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:16:43.692,75,2405 MHz,[N/A],62.01 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:16:48.693,75,2411 MHz,[N/A],60.74 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:16:53.694,76,2405 MHz,[N/A],61.58 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:16:58.694,76,2405 MHz,[N/A],61.64 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:17:03.695,77,2411 MHz,[N/A],58.18 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:17:08.696,74,2418 MHz,[N/A],47.48 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:17:13.697,73,2418 MHz,[N/A],47.72 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:17:18.698,72,2418 MHz,[N/A],43.80 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:17:28.700,73,2411 MHz,[N/A],59.55 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:17:33.701,76,2405 MHz,[N/A],61.19 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:17:38.702,76,2411 MHz,[N/A],55.25 W,94 %,Not Active,Not Active,Not Active
2026/09/07 22:17:43.703,75,2411 MHz,[N/A],60.37 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:17:48.704,75,2411 MHz,[N/A],60.22 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:17:53.705,76,2411 MHz,[N/A],60.62 W,95 %,Not Active,Not Active,Not Active
2026/09/07 22:17:58.705,76,2405 MHz,[N/A],60.97 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:18:03.707,77,2411 MHz,[N/A],60.93 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:18:08.707,77,2405 MHz,[N/A],61.13 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:18:13.708,75,2418 MHz,[N/A],50.66 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:18:18.709,75,2418 MHz,[N/A],50.14 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:18:23.710,75,2418 MHz,[N/A],50.33 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:18:28.711,75,2418 MHz,[N/A],49.04 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:19:48.726,76,2405 MHz,[N/A],62.25 W,95 %,Not Active,Not Active,Not Active
2026/09/07 22:19:53.727,77,2405 MHz,[N/A],63.30 W,95 %,Not Active,Not Active,Not Active
2026/09/07 22:19:58.727,73,2418 MHz,[N/A],44.37 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:20:03.728,73,2418 MHz,[N/A],44.72 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:20:08.729,71,2411 MHz,[N/A],23.25 W,0 %,Not Active,Not Active,Not Active
2026/09/07 22:20:13.730,75,2411 MHz,[N/A],61.61 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:20:18.731,75,2405 MHz,[N/A],62.44 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:20:23.732,76,2405 MHz,[N/A],62.87 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:20:28.733,72,2437 MHz,[N/A],44.07 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:20:33.733,71,2437 MHz,[N/A],44.25 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:20:38.735,71,2437 MHz,[N/A],44.01 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:20:48.737,74,2411 MHz,[N/A],60.71 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:20:53.737,72,2411 MHz,[N/A],61.01 W,95 %,Not Active,Not Active,Not Active
2026/09/07 22:20:58.738,73,2411 MHz,[N/A],59.78 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:21:03.739,74,2411 MHz,[N/A],60.65 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:21:08.740,71,2437 MHz,[N/A],46.75 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:21:13.742,71,2437 MHz,[N/A],46.71 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:21:18.742,70,2437 MHz,[N/A],46.78 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:21:28.744,70,2431 MHz,[N/A],56.01 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:21:33.745,71,2418 MHz,[N/A],58.92 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:21:38.747,72,2405 MHz,[N/A],61.33 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:21:43.747,73,2411 MHz,[N/A],61.93 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:21:48.749,73,2411 MHz,[N/A],58.45 W,94 %,Not Active,Not Active,Not Active
2026/09/07 22:21:53.749,74,2405 MHz,[N/A],60.23 W,95 %,Not Active,Not Active,Not Active
2026/09/07 22:21:58.750,75,2405 MHz,[N/A],60.36 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:22:03.751,73,2405 MHz,[N/A],60.94 W,95 %,Not Active,Not Active,Not Active
2026/09/07 22:22:08.752,71,2437 MHz,[N/A],50.01 W,93 %,Not Active,Not Active,Not Active
2026/09/07 22:22:13.753,71,2437 MHz,[N/A],47.18 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:22:18.754,70,2437 MHz,[N/A],44.14 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:22:28.756,71,2424 MHz,[N/A],59.72 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:22:33.757,72,2411 MHz,[N/A],60.34 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:22:38.758,74,2411 MHz,[N/A],59.22 W,94 %,Not Active,Not Active,Not Active
2026/09/07 22:22:43.759,72,2411 MHz,[N/A],58.97 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:22:48.759,74,2411 MHz,[N/A],58.90 W,95 %,Not Active,Not Active,Not Active
2026/09/07 22:22:53.760,74,2411 MHz,[N/A],60.10 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:22:58.760,76,2411 MHz,[N/A],55.91 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:23:03.761,75,2411 MHz,[N/A],60.11 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:23:08.762,76,2405 MHz,[N/A],60.81 W,94 %,Not Active,Not Active,Not Active
2026/09/07 22:23:13.763,74,2418 MHz,[N/A],50.27 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:23:18.764,74,2418 MHz,[N/A],49.10 W,96 %,Not Active,Not Active,Not Active
2026/09/07 22:23:23.765,74,2418 MHz,[N/A],49.60 W,96 %,Not Active,Not Active,Not Active
