timestamp_America_Phoenix,gpu_temp_c,sm_clock,memory_clock,power,utilization,sw_thermal_slowdown,hw_thermal_slowdown,sw_power_cap
2026/09/07 23:04:19.143,65,2405 MHz,[N/A],16.28 W,0 %,Not Active,Not Active,Not Active
2026/09/07 23:04:24.144,76,2405 MHz,[N/A],65.97 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:04:29.144,78,2385 MHz,[N/A],73.83 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:04:34.145,74,2418 MHz,[N/A],50.41 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:04:39.146,73,2418 MHz,[N/A],49.98 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:04:44.146,73,2418 MHz,[N/A],48.91 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:04:49.148,75,2418 MHz,[N/A],28.63 W,0 %,Not Active,Not Active,Not Active
2026/09/07 23:04:54.149,76,2398 MHz,[N/A],68.98 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:04:59.150,77,2392 MHz,[N/A],73.62 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:05:04.150,76,2392 MHz,[N/A],68.87 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:05:09.151,78,2385 MHz,[N/A],73.51 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:05:14.152,76,2392 MHz,[N/A],70.06 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:05:19.153,75,2418 MHz,[N/A],51.38 W,95 %,Not Active,Not Active,Not Active
2026/09/07 23:05:29.155,77,2392 MHz,[N/A],73.88 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:05:34.156,80,2385 MHz,[N/A],73.94 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:05:39.157,78,2385 MHz,[N/A],73.70 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:05:44.158,78,2398 MHz,[N/A],69.90 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:05:49.159,81,2385 MHz,[N/A],72.35 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:05:54.159,76,2418 MHz,[N/A],58.86 W,95 %,Not Active,Not Active,Not Active
2026/09/07 23:05:59.160,77,2418 MHz,[N/A],56.79 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:06:04.161,76,2418 MHz,[N/A],57.31 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:06:09.161,77,2418 MHz,[N/A],56.95 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:06:14.162,75,2418 MHz,[N/A],50.97 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:06:24.163,78,2392 MHz,[N/A],74.07 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:06:29.164,77,2405 MHz,[N/A],64.97 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:06:34.165,79,2385 MHz,[N/A],74.76 W,96 %,Not Active,Not Active,Not Active
2026/09/07 23:06:39.166,79,2385 MHz,[N/A],73.80 W,96 %,Not Active,Not Active,Not Active
