case,redhat_wall_s,nvidia_wall_s,nvidia_wall_change_percent,redhat_ttft_p50_s,nvidia_ttft_p50_s,retained_runs_per_arm
c1-16k,20.408754989039153,22.791723553964403,11.67620742277058,9.056785458000377,9.460746041033417,1
c1-32k,26.585218356049154,29.12307882803725,9.546133637118071,17.085878304031212,18.13425838499097,1
c2-16k,30.877014319004957,33.52096546301618,8.562845865520941,14.050649788987357,14.882182889006799,1
c2-32k,55.191421351977624,50.73863826401066,-8.067889862030908,26.992579465004383,28.082239267532714,1
c4-16k,61.21193537599174,62.53420911502326,2.1601567258239918,23.253785503504332,24.478950057004113,1
